"Gender","Family","Height","Father","Mother","adjHeight","midParent"
"male",1,73.2,78.5,67,70.6086945337621,72.75
"female",1,69.2,78.5,67,72.1446945337621,72.75
"female",1,69,78.5,67,71.9286945337621,72.75
"female",1,69,78.5,67,71.9286945337621,72.75
"male",2,73.5,75.5,66.5,70.9086945337621,71
"male",2,72.5,75.5,66.5,69.9086945337621,71
"female",2,65.5,75.5,66.5,68.1486945337621,71
"female",2,65.5,75.5,66.5,68.1486945337621,71
"male",3,71,75,64,68.4086945337621,69.5
"female",3,68,75,64,70.8486945337621,69.5
"male",4,70.5,75,64,67.9086945337621,69.5
"male",4,68.5,75,64,65.9086945337621,69.5
"female",4,67,75,64,69.7686945337621,69.5
"female",4,64.5,75,64,67.0686945337621,69.5
"female",4,63,75,64,65.4486945337621,69.5
"male",5,72,75,58.5,69.4086945337621,66.75
"male",5,69,75,58.5,66.4086945337621,66.75
"male",5,68,75,58.5,65.4086945337621,66.75
"female",5,66.5,75,58.5,69.2286945337621,66.75
"female",5,62.5,75,58.5,64.9086945337621,66.75
"female",5,62.5,75,58.5,64.9086945337621,66.75
"female",6,69.5,74,68,72.4686945337621,71
"male",7,76.5,74,68,73.9086945337621,71
"male",7,74,74,68,71.4086945337621,71
"male",7,73,74,68,70.4086945337621,71
"male",7,73,74,68,70.4086945337621,71
"female",7,70.5,74,68,73.5486945337621,71
"female",7,64,74,68,66.5286945337621,71
"female",8,70.5,74,66.5,73.5486945337621,70.25
"female",8,68,74,66.5,70.8486945337621,70.25
"female",8,66,74,66.5,68.6886945337621,70.25
"female",9,66,74.5,66,68.6886945337621,70.25
"female",10,65.5,74,65.5,68.1486945337621,69.75
"male",11,74,74,62,71.4086945337621,68
"male",11,70,74,62,67.4086945337621,68
"female",11,68,74,62,70.8486945337621,68
"female",11,67,74,62,69.7686945337621,68
"female",11,67,74,62,69.7686945337621,68
"female",11,66,74,62,68.6886945337621,68
"female",11,63.5,74,62,65.9886945337621,68
"female",11,63,74,62,65.4486945337621,68
"female",12,65,74,61,67.6086945337621,67.5
"male",13,71,73,67,68.4086945337621,70
"female",13,62,73,67,64.3686945337621,70
"male",14,68,73,67,65.4086945337621,70
"male",14,67,73,67,64.4086945337621,70
"male",15,71,73,66.5,68.4086945337621,69.75
"male",15,70.5,73,66.5,67.9086945337621,69.75
"female",15,66.7,73,66.5,69.4446945337621,69.75
"male",16,72,73,65,69.4086945337621,69
"male",16,70.5,73,65,67.9086945337621,69
"male",16,70.2,73,65,67.6086945337621,69
"male",16,70.2,73,65,67.6086945337621,69
"male",16,69.2,73,65,66.6086945337621,69
"female",16,68.7,73,65,71.6046945337621,69
"female",16,66.5,73,65,69.2286945337621,69
"female",16,64.5,73,65,67.0686945337621,69
"female",16,63.5,73,65,65.9886945337621,69
"male",17,74,73,64.5,71.4086945337621,68.75
"male",17,73,73,64.5,70.4086945337621,68.75
"male",17,71.5,73,64.5,68.9086945337621,68.75
"male",17,62.5,73,64.5,59.9086945337621,68.75
"female",17,66.5,73,64.5,69.2286945337621,68.75
"female",17,62.3,73,64.5,64.6926945337621,68.75
"female",18,66,73,64,68.6886945337621,68.5
"female",18,64.5,73,64,67.0686945337621,68.5
"female",18,64,73,64,66.5286945337621,68.5
"female",19,62.7,73.2,63,65.1246945337621,68.1
"male",20,73.2,72.7,69,70.6086945337621,70.85
"male",20,73,72.7,69,70.4086945337621,70.85
"male",20,72.7,72.7,69,70.1086945337621,70.85
"female",20,70,72.7,69,73.0086945337621,70.85
"female",20,69,72.7,69,71.9286945337621,70.85
"female",20,68.5,72.7,69,71.3886945337621,70.85
"female",20,68,72.7,69,70.8486945337621,70.85
"female",20,66,72.7,69,68.6886945337621,70.85
"male",21,73,72,68,70.4086945337621,70
"female",21,68.5,72,68,71.3886945337621,70
"female",21,68,72,68,70.8486945337621,70
"male",22,73,72,67,70.4086945337621,69.5
"male",22,71,72,67,68.4086945337621,69.5
"female",22,67,72,67,69.7686945337621,69.5
"male",23,74.2,72,65,71.6086945337621,68.5
"male",23,70.5,72,65,67.9086945337621,68.5
"male",23,69.5,72,65,66.9086945337621,68.5
"female",23,66,72,65,68.6886945337621,68.5
"female",23,65.5,72,65,68.1486945337621,68.5
"female",23,65,72,65,67.6086945337621,68.5
"female",23,65,72,65,67.6086945337621,68.5
"female",24,65.5,72,65.5,68.1486945337621,68.75
"female",25,66,72,64,68.6886945337621,68
"female",25,63,72,64,65.4486945337621,68
"male",26,70.5,72,63,67.9086945337621,67.5
"male",26,70.5,72,63,67.9086945337621,67.5
"male",26,69,72,63,66.4086945337621,67.5
"female",26,65,72,63,67.6086945337621,67.5
"female",26,63,72,63,65.4486945337621,67.5
"male",27,69,72,63,66.4086945337621,67.5
"male",27,67,72,63,64.4086945337621,67.5
"female",27,63,72,63,65.4486945337621,67.5
"male",28,73,72,63,70.4086945337621,67.5
"male",28,67,72,63,64.4086945337621,67.5
"female",28,70.5,72,63,73.5486945337621,67.5
"female",28,70,72,63,73.0086945337621,67.5
"female",28,66.5,72,63,69.2286945337621,67.5
"female",28,63,72,63,65.4486945337621,67.5
"female",29,67.5,72.5,63.5,70.3086945337621,68
"female",29,67.2,72.5,63.5,69.9846945337621,68
"female",29,66.7,72.5,63.5,69.4446945337621,68
"female",30,64,72,62,66.5286945337621,67
"male",31,71,72.5,62,68.4086945337621,67.25
"male",31,70,72.5,62,67.4086945337621,67.25
"male",31,70,72.5,62,67.4086945337621,67.25
"female",31,66,72.5,62,68.6886945337621,67.25
"female",31,65,72.5,62,67.6086945337621,67.25
"female",31,65,72.5,62,67.6086945337621,67.25
"male",32,74,72,62,71.4086945337621,67
"male",32,72,72,62,69.4086945337621,67
"male",32,69,72,62,66.4086945337621,67
"female",32,67.5,72,62,70.3086945337621,67
"female",32,63.5,72,62,65.9886945337621,67
"male",33,72,72,62,69.4086945337621,67
"male",33,71.5,72,62,68.9086945337621,67
"male",33,71.5,72,62,68.9086945337621,67
"male",33,70,72,62,67.4086945337621,67
"female",33,68,72,62,70.8486945337621,67
"female",34,65.7,72,61,68.3646945337621,66.5
"male",35,78,71,69,75.4086945337621,70
"male",35,74,71,69,71.4086945337621,70
"male",35,73,71,69,70.4086945337621,70
"male",35,72,71,69,69.4086945337621,70
"female",35,67,71,69,69.7686945337621,70
"male",36,73.2,71,67,70.6086945337621,69
"male",36,73,71,67,70.4086945337621,69
"male",36,69,71,67,66.4086945337621,69
"female",36,67,71,67,69.7686945337621,69
"male",37,70,71,66,67.4086945337621,68.5
"female",37,67,71,66,69.7686945337621,68.5
"female",37,67,71,66,69.7686945337621,68.5
"female",37,66.5,71,66,69.2286945337621,68.5
"male",38,70,71,66,67.4086945337621,68.5
"male",38,69,71,66,66.4086945337621,68.5
"male",38,68.5,71,66,65.9086945337621,68.5
"female",38,66,71,66,68.6886945337621,68.5
"female",38,64.5,71,66,67.0686945337621,68.5
"female",38,63,71,66,65.4486945337621,68.5
"male",39,71,71,66,68.4086945337621,68.5
"female",39,67,71,66,69.7686945337621,68.5
"male",40,76,71,66,73.4086945337621,68.5
"male",40,72,71,66,69.4086945337621,68.5
"male",40,71,71,66,68.4086945337621,68.5
"male",40,66,71,66,63.4086945337621,68.5
"female",40,66,71,66,68.6886945337621,68.5
"male",41,70.5,71.7,65.5,67.9086945337621,68.6
"male",42,72,71,65.5,69.4086945337621,68.25
"male",42,72,71,65.5,69.4086945337621,68.25
"male",42,71,71,65.5,68.4086945337621,68.25
"male",42,69,71,65.5,66.4086945337621,68.25
"female",42,66,71,65.5,68.6886945337621,68.25
"female",42,65,71,65.5,67.6086945337621,68.25
"male",43,73,71.5,65.5,70.4086945337621,68.5
"female",43,65.2,71.5,65.5,67.8246945337621,68.5
"male",44,68.5,71.5,65,65.9086945337621,68.25
"male",44,67.7,71.5,65,65.1086945337621,68.25
"male",45,68,71,65,65.4086945337621,68
"male",45,68,71,65,65.4086945337621,68
"female",45,62,71,65,64.3686945337621,68
"female",46,68,71,64,70.8486945337621,67.5
"female",46,68,71,64,70.8486945337621,67.5
"female",46,67.5,71,64,70.3086945337621,67.5
"female",46,66.5,71,64,69.2286945337621,67.5
"female",46,66.5,71,64,69.2286945337621,67.5
"female",46,66,71,64,68.6886945337621,67.5
